*********************************************
*** Started on 2023-07-08 17:49:32.522642 ***
*********************************************

Mod ID: 6b8f52bd-4262-4cc6-b21f-ecdbcf3dbc56
Mod Name: 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Comp.Name: 츠카츠키리오의밀레니엄사이언스스쿨
Mod Authors: N/A

Mod Name (no extra): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Name (clean): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Comp.Name (clean): 츠카츠키리오의밀레니엄사이언스스쿨

Mod Name (HTML): 츠카츠키 리오의 밀레니엄 사이언스 스쿨
Mod Name (HTML - en_US): Tsukatsuki Rio's Millennium Science School

CREATED: C:/Users/humpel/Documents/Firaxis ModBuddy/Civilization VI/CTC - ComputerTranslatedCivilizations/CTC - Computer Translated Civilizations/2976893035

CREATED DIR (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035\Tsukatsuki_Rio.modinfo


------------------------------------------------------------
FrontEndActions:
------------------------------------------------------------
XML file found: BA_Text.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_Text.xml
XML file found: BA_ConfigText.xml
COPIED (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_ConfigText.xml

------------------------------------------------------------
InGameActions:
------------------------------------------------------------
XML file found: BA_ConfigText.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_ConfigText.xml

XML file found: BA_Text.xml
Found (Backup): C:/Users/humpel/Documents/GitHub/CTC-Computer_Translated_Civilizations/Originals/2976893035/BA_Text.xml


------------------------------------------------------------
Entries found: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
FrontEnd entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
InGame entries: {'en_US': 0, 'fr_FR': 0, 'de_DE': 0, 'it_IT': 0, 'es_ES': 0, 'ja_JP': 0, 'ru_RU': 0, 'pl_PL': 0, 'ko_KR': 52, 'zh_Hans_CN': 0, 'zh_Hant_HK': 0}
------------------------------------------------------------
Max entries: ['ko_KR']
Default language: ko_KR: 52


FrontEnd translations:

  1 - LOC_PEDIA_CIVILIZATIONS_PAGE_CIVILIZATION_BA_MILLENNIUM_CHAPTER_HISTORY_PARA_1:  (164) ->  en_US(429)   fr_FR(459)   de_DE(548)   it_IT(462)   es_ES(473)   ja_JP(126)   ru_RU(440)   pl_PL(409)   zh_Hans_CN(96)   zh_Hant_HK(96)   
  2 - LOC_CITIZEN_MILLENNIUM_FEMALE_1:  (3) ->  en_US(5)   fr_FR(5)   de_DE(5)   it_IT(4)   es_ES(5)   ja_JP(3)   ru_RU(3)   pl_PL(5)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  3 - LOC_CITIZEN_MILLENNIUM_FEMALE_2:  (2) ->  en_US(4)   fr_FR(6)   de_DE(4)   it_IT(5)   es_ES(6)   ja_JP(2)   ru_RU(4)   pl_PL(5)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  4 - LOC_CITIZEN_MILLENNIUM_FEMALE_3:  (2) ->  en_US(4)   fr_FR(4)   de_DE(4)   it_IT(4)   es_ES(4)   ja_JP(2)   ru_RU(4)   pl_PL(4)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  5 - LOC_CITIZEN_MILLENNIUM_FEMALE_4:  (3) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(3)   ru_RU(6)   pl_PL(6)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  6 - LOC_CITIZEN_MILLENNIUM_FEMALE_5:  (2) ->  en_US(5)   fr_FR(5)   de_DE(5)   it_IT(5)   es_ES(5)   ja_JP(2)   ru_RU(4)   pl_PL(5)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  7 - LOC_CITIZEN_MILLENNIUM_FEMALE_6:  (3) ->  en_US(5)   fr_FR(5)   de_DE(5)   it_IT(5)   es_ES(5)   ja_JP(3)   ru_RU(5)   pl_PL(5)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  8 - LOC_CITIZEN_MILLENNIUM_FEMALE_7:  (2) ->  en_US(5)   fr_FR(6)   de_DE(5)   it_IT(5)   es_ES(6)   ja_JP(3)   ru_RU(5)   pl_PL(6)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  9 - LOC_CITIZEN_MILLENNIUM_FEMALE_8:  (3) ->  en_US(5)   fr_FR(5)   de_DE(5)   it_IT(5)   es_ES(5)   ja_JP(3)   ru_RU(5)   pl_PL(5)   zh_Hans_CN(1)   zh_Hant_HK(1)   
  10 - LOC_CITIZEN_MILLENNIUM_FEMALE_9:  (3) ->  en_US(5)   fr_FR(4)   de_DE(5)   it_IT(5)   es_ES(5)   ja_JP(3)   ru_RU(3)   pl_PL(5)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  11 - LOC_CITIZEN_MILLENNIUM_FEMALE_10:  (3) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(1)   ru_RU(6)   pl_PL(6)   zh_Hans_CN(1)   zh_Hant_HK(1)   
  12 - LOC_CITIZEN_MILLENNIUM_FEMALE_11:  (3) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(3)   ru_RU(6)   pl_PL(6)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  13 - LOC_CITIZEN_MILLENNIUM_FEMALE_12:  (3) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(3)   ru_RU(6)   pl_PL(6)   zh_Hans_CN(1)   zh_Hant_HK(1)   
  14 - LOC_CITIZEN_MILLENNIUM_FEMALE_13:  (3) ->  en_US(3)   fr_FR(3)   de_DE(3)   it_IT(3)   es_ES(3)   ja_JP(4)   ru_RU(3)   pl_PL(3)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  15 - LOC_CITIZEN_MILLENNIUM_FEMALE_14:  (3) ->  en_US(4)   fr_FR(4)   de_DE(4)   it_IT(4)   es_ES(4)   ja_JP(3)   ru_RU(4)   pl_PL(4)   zh_Hans_CN(3)   zh_Hant_HK(3)   
  16 - LOC_CITIZEN_MILLENNIUM_FEMALE_15:  (3) ->  en_US(5)   fr_FR(5)   de_DE(5)   it_IT(5)   es_ES(5)   ja_JP(3)   ru_RU(5)   pl_PL(5)   zh_Hans_CN(2)   zh_Hant_HK(2)   
  17 - LOC_CITIZEN_MILLENNIUM_FEMALE_16:  (3) ->  en_US(6)   fr_FR(6)   de_DE(6)   it_IT(6)   es_ES(6)   ja_JP(3)   ru_RU(6)   pl_PL(6)   zh_Hans_CN(1)   zh_Hant_HK(1)   
  18 - LOC_CITIZEN_MILLENNIUM_FEMALE_17:  (2) ->  en_US(3)   fr_FR(8)   de_DE(9)   it_IT(8)   es_ES(4)   ja_JP(3)   ru_RU(12)   pl_PL(6)   zh_Hans_CN(2)   zh_Hant_HK(2)   
